school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7251065,대구동성초등학교,동부,대구광역시 수성구 수성로 311,가,36,1,37, ,,, ,1,4,35.85342865,128.6126989
7251067,대구동신초등학교,동부,대구광역시 동구 송라로 123 ,나,29,1,30, ,,, ,, ,35.87827603,128.6150298
7251073,대구동원초등학교,동부,대구광역시 수성구 국채보상로 1000 ,나,19,0,19, ,,, ,, ,35.86516994,128.6401008
7251054,대구동인초등학교,동부,대구광역시 중구 국채보상로 728,다,12,2,14, ,,,관심,, ,35.86808439,128.6095062
7251087,대구동일초등학교,동부,대구광역시 수성구 들안로 311,가,19,1,20, ,,, ,, ,35.85799766,128.6167788
7251064,대구동천초등학교,동부,대구광역시 수성구 상록로16길 20 ,가,60,1,61, ,,, ,1,4,35.865317,128.6257512
7251059,대구동촌초등학교,동부,대구광역시 동구 동촌로 168 ,나,17,2,19, ,,, ,, ,35.88202794,128.6589293
7261087,대구동평초등학교,서부,대구광역시 북구 동천로 84 ,가,27,0,27, ,,, ,, ,35.93907265,128.5610097
7251109,대구동호초등학교,동부,대구광역시 동구 동호로 25 ,나,15,1,16, ,,, ,1,4,35.86535031,128.7204845
7261072,대구두류초등학교,서부,대구광역시 서구 달구벌대로357길 22,다,23,1,24, ,,, ,, ,35.86161552,128.5599193
7251093,대구두산초등학교,동부,대구광역시 수성구 동대구로6길 31,다,12,1,13, ,,, ,3,4,35.83259729,128.6260889
7251268,대구들안길초등학교,동부,대구광역시 수성구 들안로16길 58 ,나,23,1,24, ,,, ,, ,35.83886822,128.6184098
7251071,대구만촌초등학교,동부,대구광역시 수성구 국채보상로214길 33 ,나,14,1,15, ,,, ,, ,35.86669184,128.6478915
7281041,대구매곡초등학교,달성,대구광역시 달성군 다사읍 대실역북로3길 6,가,16,0,16, ,,, ,, ,35.86224983,128.4681199
7251113,대구매동초등학교,동부,대구광역시 수성구 천을로31길 16 ,나,12,0,12, ,,, ,, ,35.84521277,128.7092073
7261064,대구매천초등학교,서부,대구광역시 북구 매천로 179,나,14,2,16,대용부설,2,3, ,1,4,35.91275916,128.5420539
7251105,대구매호초등학교,동부,대구광역시 수성구 달구벌대로647길 30,나,18,1,19, ,,, ,, ,35.84140543,128.7129895
7281035,대구명곡초등학교,달성,대구광역시 달성군 화원읍 명곡로 40 ,나,6,1,7, ,,, ,, ,35.79667071,128.4961175
7251052,대구명덕초등학교,동부,대구광역시 중구 남산로2길 125 ,다,16,1,17, ,,, ,4,4,35.85833239,128.5894901
7261046,대구문성초등학교,서부,대구광역시 북구 복현로 180,나,16,1,17,교실수업개선,1,2, ,, ,35.90564341,128.619663
7281020,대구반송초등학교,달성,대구광역시 달성군 옥포읍 용연사길 5 ,라,6,0,6, ,,, ,1,4,35.75661793,128.4946927
7251077,대구반야월초등학교,동부,대구광역시 동구 안심로49길 70 ,다,34,2,36, ,,, ,, ,35.86827216,128.7107606
7251091,대구방촌초등학교,동부,대구광역시 동구 동촌로42길 35-14,다,13,1,14, ,,, ,, ,35.88070613,128.6630617
7251099,대구범물초등학교,동부,대구광역시 수성구 지범로41길 33 ,라,6,2,8, ,,, ,, ,35.82181258,128.6454325
7251068,대구범어초등학교,동부,대구광역시 수성구 달구벌대로489길 55 ,가,59,1,60, ,,, ,, ,35.86067084,128.6329505
7251100,대구범일초등학교,동부,대구광역시 수성구 범안로4길 22 ,가,22,0,22, ,,, ,, ,35.81633065,128.6388255
