school_code,school_name,district,address,grade_class,class_regular,class_special,class_total,research_topic,research_year,research_total_years,ib_stage,future_year,future_total_years,latitude,longitude
7251060,대구해서초등학교,동부,대구광역시 동구 팔공로 220-4 ,나,16,2,18,학교자율성(IB후보),1,2,후보,, ,35.91814298,128.6429614
7251058,대구해안초등학교,동부,대구광역시 동구 옻골로 50 ,라,6,1,7, ,,, ,2,4,35.89615668,128.682927
7281023,대구현풍초등학교,달성,대구광역시 달성군 현풍읍 비슬로134길 167-6 ,다,13,1,14,학교자율성(IB월드),2,2,월드,, ,35.69809567,128.4489959
7271104,대구호산초등학교,남부,대구광역시 달서구 달서대로109길 116 ,다,22,2,24, ,,, ,, ,35.84896455,128.4789194
7281033,대구화남초등학교,달성,대구광역시 달성군 화원읍 명천로 181,나,21,1,22, ,,, ,1,4,35.80002003,128.498009
7281039,대구화동초등학교,달성,대구광역시 달성군 화원읍 성암로 38 ,나,12,1,13, ,,, ,, ,35.79954584,128.5096929
7281017,대구화원초등학교,달성,대구광역시 달성군 화원읍 비슬로 2580,나,18,2,20, ,,, ,1,4,35.80302218,128.4993245
7251072,대구황금초등학교,동부,대구광역시 수성구 들안로32길 22,나,29,2,31, ,,, ,, ,35.84420044,128.618385
7251094,대구효동초등학교,동부,대구광역시 동구 효동로 78-7 ,라,6,1,7, ,,, ,3,4,35.88415639,128.6447288
7271065,대구효명초등학교,남부,대구광역시 남구 앞산순환로 707,나,14,0,14, ,,, ,, ,35.83464733,128.6012131
7251066,대구효목초등학교,동부,대구광역시 동구 화랑로27길 25 ,나,15,1,16, ,,, ,, ,35.87601101,128.6415692
7271108,효성초등학교(사립),남부,대구광역시 달서구 송현로 81,,18,0,18, ,,, ,, ,35.82393603,128.5433293
7251070,대구효신초등학교,동부,대구광역시 동구 동부로34길 70,다,26,1,27, ,,, ,, ,35.87263323,128.6321442
7251063,동대구초등학교,동부,대구광역시 동구 신암남로 45 ,가,31,1,32, ,,, ,, ,35.87969333,128.62097
7261069,북대구초등학교,서부,대구광역시 북구 동북로37길 68 ,나,15,2,17, ,,, ,, ,35.90295003,128.6099806
7261059,서대구초등학교,서부,대구광역시 서구 서대구로63길 28-13 ,라,8,2,10, ,,,관심,, ,35.88944615,128.5577979
7251117,영신초등학교(사립),동부,대구광역시 동구 팔공로50길 32 ,,24,0,24, ,,, ,, ,35.92002197,128.6462993
